,project_original_id,patch_group_original_id,reviewer_count,author_count,comment_count,iteration_count,changed_lines_avg,changed_lines_first,changed_lines_last,changed_files_avg,changed_files_first,changed_files_last,incomplete_change_info,response_time,finalizing_time,is_accepted
count,24893,24893,24893.0,24893.0,24893.0,24893.0,24893.0,24893.0,24893.0,24893.0,24893.0,24893.0,24893,24893.0,24893.0,24893
unique,1,24893,,,,,,,,,,,2,,,2
top,ffmpeg-project-1,ffmpeg-change1-1,,,,,,,,,,,False,,,True
freq,24893,1,,,,,,,,,,,24872,,,15552
mean,,,0.8453782187763629,1.027959667376371,2.2334391194311656,1.4552685493913953,77.77264669472797,77.37625035150444,78.27859237536657,2.419073794690308,2.4024022817659585,2.437713413409392,,120.86156554497695,297.427138887773,
std,,,1.1392635565276947,0.16990086903584128,4.173380079581342,1.253333038741025,398.04220789793703,399.79346317138413,402.5249900647438,10.949338017896611,10.920350864598062,11.013476680604846,,760.3562501921284,1431.3326473176216,
min,,,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,,-11.868333333333334,-10.205,
25%,,,0.0,1.0,0.0,1.0,4.0,4.0,4.0,1.0,1.0,1.0,,0.0,0.0,
50%,,,1.0,1.0,1.0,1.0,11.0,11.0,11.0,1.0,1.0,1.0,,1.3594444444444445,12.859444444444446,
75%,,,1.0,1.0,2.0,1.0,38.0,38.0,38.0,2.0,2.0,2.0,,28.96388888888889,112.35194444444444,
max,,,14.0,4.0,125.0,37.0,25300.5,25300.0,25301.0,513.0,513.0,513.0,,26739.402777777777,47614.63666666667,
